date,published_at,source,topic,title,description,url,compound,pos,neg,neu,sentiment_cat,source_weight
2026-04-19,2026-04-19T21:06:10Z,ABC News (AU),markets,"Live: More Wall Street records, oil prices tumble, ASX on edge",Wall Street hit new highs while oil prices retreated sharply on hopes of a US-Iran peace deal on Friday. Those hopes are now fading. Follow the day's events and insights from our business reporters on the ABC News live markets blog.,https://www.abc.net.au/news/2026-04-20/asx-markets-business-news-live-updates/106581644,0.8442,0.157,0.0,0.843,positive,1.0
2026-04-19,2026-04-19T09:45:00Z,Yahoo Entertainment,markets,Jim Cramer is selling stocks as the S&P 500 flashes overbought — but a $100 bet from 2000 tells a different story,"Trimming your stocks amid recent market rotations could be a smart choice, per Jim Cramer’s advice.",https://finance.yahoo.com/markets/stocks/articles/jim-cramer-selling-stocks-p-094500715.html,0.5499,0.088,0.0,0.912,positive,1.0
2026-04-19,2026-04-19T12:10:44Z,CryptoSlate,markets,SEC removes huge pattern day trader barrier to allow retail investors to day trade Bitcoin with just $2k margin,"The SEC has approved a rule change that eliminates one of Wall Street's most recognizable barriers for small traders: the old $25,000 minimum tied to pattern day-trading restrictions. Regulators signed off on FINRA's proposal to scrap a framework that long ma…",https://cryptoslate.com/sec-removes-huge-pattern-day-trader-barrier-to-allow-retail-investors-to-day-trade-bitcoin-with-just-2k-margin/,0.6705,0.109,0.023,0.868,positive,1.0
2026-04-19,2026-04-19T12:11:55Z,Ibtimes.com.au,markets,AI Boom and Energy Surge: 5 S&P 500 Stocks Analysts Say Could Soar in 2026,"NEW YORK — As the S&P 500 navigates a volatile 2026 marked by geopolitical tensions in the Middle East and persistent focus on artificial intelligence infrastructure, investors are hunting for resilient large-cap names with strong growth potential. Wall Stree…",https://www.ibtimes.com.au/ai-boom-energy-surge-5-sp-500-stocks-analysts-say-could-soar-2026-1867009,0.8126,0.177,0.043,0.78,positive,1.0
2026-04-19,2026-04-19T16:02:44Z,CNBC,markets,Software stock dogs have joined market rally. There's a classic investing lesson in the rebound,"In a 2026 market that had Microsoft down close to 20%, looking for opportunities to buy after big drawdowns is coming to more tech and software stocks.",https://www.cnbc.com/2026/04/19/software-tech-stocks-market-rally-microsoft.html,0.3818,0.06,0.0,0.94,positive,1.5
2026-04-19,2026-04-19T16:04:53Z,Yahoo Entertainment,markets,Should You Buy the Vanguard S&P 500 ETF With the Stock Market At a Fresh Record High? The Answer Might Surprise You.,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5116ae7e-0bd1-48b2-a7cb-ce89c5922088,0.5267,0.18,0.0,0.82,positive,1.0
2026-04-19,2026-04-19T16:53:39Z,Barchart.com,markets,Vistra Earnings Preview: What to Expect,"Vistra will release its first-quarter earnings next month, and analysts anticipate a triple-digit bottom-line growth.",https://www.barchart.com/story/news/1390664/vistra-earnings-preview-what-to-expect,0.3818,0.115,0.0,0.885,positive,1.0
2026-04-19,2026-04-19T17:01:08Z,Awealthofcommonsense.com,markets,New All-Time Highs,"The Roaring 20s are in full swing in the stock market.
The post New All-Time Highs appeared first on A Wealth of Common Sense.
...",https://awealthofcommonsense.com/2026/04/new-all-time-highs/,0.4939,0.106,0.0,0.894,positive,1.0
2026-04-19,2026-04-19T17:33:00Z,Yahoo Entertainment,markets,Analyst sends bold stock market message as S&P 500 hits new highs,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b40861ee-b300-451a-8cb4-e6add71b1b7a,0.3818,0.191,0.0,0.809,positive,1.0
2026-04-19,2026-04-19T20:33:00Z,TheStreet,markets,Wall Street just sent oil stocks a brutal message after Iran’s move,"U.S. stocks jumped on April 17,closing on a very healthy note to end the week after Iran said the Strait of Hormuz will stay operational during the Israel...",https://www.thestreet.com/automotive/wall-street-just-sent-oil-stocks-a-brutal-message-after-irans-move,-0.2748,0.066,0.091,0.843,negative,1.0
2026-04-19,2026-04-19T21:32:16Z,Slashdot.org,markets,"The S&P 500 blows past 7,000 in an epic comeback rally. Here’s why it can keep going. - MarketWatch","The S&P 500 blows past 7,000 in an epic comeback rally. Here’s why it can keep going.MarketWatch S&P 500 at 7,000: 7 investing rules you must now live byYahoo Finance Stock market bulls see signs rally could endure after S&P 500 back at highsReuters S&P 500 S…",https://slashdot.org/firehose.pl?op=view&amp;id=181762006,0.0,0.0,0.0,1.0,neutral,1.0
2026-04-19,2026-04-19T21:32:22Z,Financial Post,markets,Traders Brace for Renewed Turmoil on Hormuz Standoff,"Traders are preparing for a bumpy open to the week as a continued standoff around the Strait of Hormuz revives the uncertainty that Wall Street had been eager to look past, after a week that drove the S&P 500 Index to a record and pushed oil back toward $90 a…",https://financialpost.com/pmn/business-pmn/traders-brace-for-renewed-turmoil-on-hormuz-standoff,0.0516,0.08,0.077,0.844,positive,1.0
2026-04-19,2026-04-19T21:46:50Z,Forbes,markets,Creating Value Wins: The 7 Surprises That Explain Why,Five years of research revealed a radically simple truth: companies that make creating value their only obsession dramatically outperform all others,https://www.forbes.com/sites/stevedenning/2026/04/19/creating-value-wins-the-7-surprises-that-explain-why/,0.9136,0.412,0.058,0.53,positive,1.5
2026-04-19,2026-04-19T22:04:09Z,CNBC,markets,Stock market today: Live updates,President Donald Trump on Sunday said the U.S. had fired on and seized an Iranian-flagged cargo ship in the Gulf of Oman.,https://www.cnbc.com/2026/04/19/stock-market-today-live-updates.html,-0.5574,0.0,0.122,0.878,negative,1.5
2026-04-19,2026-04-19T22:15:22Z,CNA,markets,Oil jumps and stock futures slip as Iran tensions unsettle markets,"April 20 : Oil prices jumped, the U.S. dollar rose and stock futures fell on Monday as investors dealt with conflicting messages about the Iran war and news that the Strait of Hormuz was closed again.In early Asian trading Brent crude futures jumped about 7 p…",https://www.channelnewsasia.com/business/oil-jumps-and-stock-futures-slip-iran-tensions-unsettle-markets-6066891,-0.9186,0.0,0.197,0.803,negative,1.0
2026-04-19,2026-04-19T22:36:05Z,Crypto Briefing,markets,"Iran tensions drive oil prices up, stock futures down","Rising oil prices due to Iran tensions highlight global economic vulnerability, potentially leading to increased market volatility and geopolitical instability.
The post Iran tensions drive oil prices up, stock futures down appeared first on Crypto Briefing.",https://cryptobriefing.com/iran-tensions-drive-oil-prices-up-stock-futures-down/,-0.6705,0.084,0.187,0.729,negative,1.0
2026-04-19,2026-04-19T23:03:54Z,Yahoo Entertainment,markets,"Stock market today: S&P 500, Nasdaq, Dow futures fall as US-Iran tensions flare up again to shutter Hormuz",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1542ad15-48bd-4f59-affb-ace39de7a2e8,-0.4019,0.0,0.137,0.863,negative,1.0
2026-04-19,2026-04-19T23:03:54Z,Yahoo Entertainment,markets,"Stock market today: S&P 500, Nasdaq, Dow fall as US-Iran tensions flare up again, shuttering Hormuz",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_90ff12c3-9467-407a-a937-694faaac7c9d,-0.4019,0.0,0.153,0.847,negative,1.0
2026-04-19,2026-04-19T23:03:54Z,Yahoo Entertainment,markets,"Stock market today: S&P 500, Nasdaq, Dow edge lower as US-Iran tensions flare up again, shuttering Hormuz",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_48a070b1-b13f-4bd2-8f97-2f38ff65039b,-0.5994,0.0,0.246,0.754,negative,1.0
2026-04-19,2026-04-19T10:02:51Z,BusinessLine,markets,"Nifty 50, S&P 500 vs Gold: Four important facts that investors could be missing","Ratios, returns favour gold despite recent dip opening buying window for long-term investors",https://www.thehindubusinessline.com/portfolio/nifty-50-sampp-500-vs-gold-four-important-facts-that-investors-could-be-missing/article70878466.ece,0.6369,0.227,0.067,0.706,positive,1.0
2026-04-19,2026-04-19T09:15:01Z,Business Insider,markets,A strategist unpacks the bullish thesis that helped him navigate the Iran war volatility,"Ryan Detrick, the chief market strategist at Carson Group,  shares his investing framework as the stock market rides a rapid relief rally.",https://www.businessinsider.com/stock-market-strategist-iran-war-q1-earnings-bull-market-outlook-2026-4,0.1027,0.126,0.092,0.782,positive,1.5
2026-04-19,2026-04-19T16:46:42Z,Crypto Briefing,policy,Record $172.2B outflow from money markets as investors eye riskier assets,"The massive outflow from money markets signals a shift in investor sentiment towards higher risk, potentially impacting asset valuations.
The post Record $172.2B outflow from money markets as investors eye riskier assets appeared first on Crypto Briefing.",https://cryptobriefing.com/record-1722b-outflow-from-money-markets-as-investors-eye-riskier-assets/,-0.25,0.108,0.126,0.766,negative,1.0
